eventID,datasetID,siteID,startYear,startMonth,startDay,endYear,endMonth,endDay,eventDate,startTime,endTime,eventTimeBlocks,eventDuration,eventDurationUnitID,studyDiurnalityID,reportedWeather,recordedBy,eventRemarks,eventMethodsID,verbatimEventMethods,eventMethodProtocolNames,eventMethodProtocolReferences,isAbundanceReported,isAbsenceReported,isSamplingEffortReported,samplingEffortUnitID,samplingEffortValue,targetTaxonomicScope,excludedTaxonomicScope,targetLifestageScopeID,excludedLifeStageScopeID,targetGrowthFormScope,excludedGrowthFormScope,targetSize,excludedSize
1,1,1,1984,,,1986,,,,,,42,4,3,4,,Bárta,,1,standard line transects method,,"Janda, J. & Řepa, P., 1983: Metody kvantitativního výzkumu v ornitologii. Acrocephalus 1: 1-35. Ostrava.",TRUE,FALSE,TRUE,2,168,Aves,,2,,,,,
2,2,2,1975,,,1977,,,,,,3,,1,1,,Bejček|Tyrner,,2,standard mapping method,,"Pinowski, J. & Williamson, K., 1974: Introductory information of the 4th Meeting of the International Bird Census committee. Acta Ornithologica 6: 152-164.",TRUE,FALSE,TRUE,4,3,Aves,,2,,,,,
3,2,3,1970,,,1970,,,,,,1,,1,1,,Bejček|Tyrner,,2,standard mapping method,,"Pinowski, J. & Williamson, K., 1974: Introductory information of the 4th Meeting of the International Bird Census committee. Acta Ornithologica 6: 152-164.",TRUE,FALSE,TRUE,4,1,Aves,,2,,,,,
4,2,4,1972,,,1976,,,,,,2,,1,1,,Bejček|Tyrner,,2,standard mapping method,,"Pinowski, J. & Williamson, K., 1974: Introductory information of the 4th Meeting of the International Bird Census committee. Acta Ornithologica 6: 152-164.",TRUE,FALSE,TRUE,4,2,Aves,,2,,,,,
5,2,5,1976,,,1976,,,,,,1,,1,1,,Bejček|Tyrner,,2,standard mapping method,,"Pinowski, J. & Williamson, K., 1974: Introductory information of the 4th Meeting of the International Bird Census committee. Acta Ornithologica 6: 152-164.",TRUE,FALSE,TRUE,4,1,Aves,,2,,,,,
6,3,6,1991,,,1991,,,,,,34,,1,1,,Berec|Pavelka,,5,,,,TRUE,FALSE,TRUE,4,34,Aves,,2,,,,,
7,7,7,1989,,,1989,,,,,,11,1.5,3,1,,Berec,,2,standard mapping method,,"Janda, J. & Řepa, P., 1986: Metody kvantitativního výzkumu v ornitologii. MOS, SZN, Praha.",TRUE,FALSE,TRUE,2,16.5,Aves,,2,,,,,
8,7,7,1990,,,1990,,,,,,12,1.5,3,1,,Berec,,2,standard mapping method,,"Janda, J. & Řepa, P., 1986: Metody kvantitativního výzkumu v ornitologii. MOS, SZN, Praha.",TRUE,FALSE,TRUE,2,18,Aves,,2,,,,,
9,7,7,1991,,,1991,,,,,,,1.5,3,1,,Berec,,2,standard mapping method,,"Janda, J. & Řepa, P., 1986: Metody kvantitativního výzkumu v ornitologii. MOS, SZN, Praha.",TRUE,FALSE,FALSE,1,0,Aves,,2,,,,,
10,8,10,1982,4,18,1982,6,17,,,,10,,1,1,,Bureš|Maton,,2,standard mapping method,,"Šťastný, K., 1974: Návrh jednotné metodiky kvantitativního výzkumu ptáků. Zprávy MOS, 1974: 13-21.",TRUE,FALSE,TRUE,4,10,Aves,,2,,,,,
