siteID,parentSiteID,siteName,siteShapeID,shapefileNameID,objectID,totalAreaSampledInSquareKilometers,verbatimIdentificationPerSite_Count
1,,Krásný dvůr,1,1,0,0.995599985,63
2,,Růžodolská spoil bank,1,1,1,0.449999988,3
3,,Jiřetínská spoil bank,1,1,2,0.639999986,6
4,,Kopistská spoil bank,1,1,3,0.100000001,6
5,,Kopistská spoil bank 2,1,1,4,0.100000001,14
6,,Vsetínská vodárna,1,1,5,0.25,26
7,,park in Vsetín,1,1,6,0.0427,73
10,,Pomoraví 1,1,1,7,0.075000003,35
11,,Pomoraví 2,1,1,8,0.034000002,25
12,,Pomoraví 3,1,1,9,0.039999999,33
13,,PR Libochovka,1,1,11,0.142499998,28
14,,vrch Hradec,1,1,12,0.122500002,23
26,,NPR Žofínský prales,1,1,10,1.021999955,252
27,26,NPR Žofínský prales - line A1,2,2,0,0.064999998,191
28,26,NPR Žofínský prales - line A2,2,2,1,0.064999998,161
29,26,NPR Žofínský prales - line B1,2,2,2,0.050000001,124
30,26,NPR Žofínský prales - line B2,2,2,3,0.050000001,127
31,,Niva Moravice,1,1,22,0.419999987,168
32,,NPR Žebračka,1,1,23,2.572000027,60
33,32,NPR Žebračka-point 1,3,3,0,0.00785,23
34,32,NPR Žebračka-point 2,3,3,1,0.00785,23
35,32,NPR Žebračka-point 3,3,3,2,0.00785,23
36,32,NPR Žebračka-point 4,3,3,3,0.00785,19
37,32,NPR Žebračka-point 5,3,3,4,0.00785,24
38,32,NPR Žebračka-point 6,3,3,5,0.00785,21
39,32,NPR Žebračka-point 7,3,3,6,0.00785,18
40,32,NPR Žebračka-point 8,3,3,7,0.00785,18
41,32,NPR Žebračka-point 9,3,3,8,0.00785,27
42,32,NPR Žebračka-point 10,3,3,9,0.00785,19
43,32,NPR Žebračka-point 11,3,3,10,0.00785,18
44,32,NPR Žebračka-point 12,3,3,11,0.00785,21
45,32,NPR Žebračka-point 13,3,3,12,0.00785,18
46,32,NPR Žebračka-point 14,3,3,13,0.00785,22
47,32,NPR Žebračka-point 15,3,3,14,0.00785,22
48,32,NPR Žebračka-point 16,3,3,15,0.00785,19
49,32,NPR Žebračka-point 17,3,3,16,0.00785,22
50,32,NPR Žebračka-point 18,3,3,17,0.00785,19
51,32,NPR Žebračka-point 19,3,3,18,0.00785,19
52,32,NPR Žebračka-point 20,3,3,19,0.00785,20
53,32,NPR Žebračka-point 21,3,3,20,0.00785,17
54,32,NPR Žebračka-point 22,3,3,21,0.00785,20
55,32,NPR Žebračka-point 23,3,3,22,0.00785,17
56,32,NPR Žebračka-point 24,3,3,23,0.00785,21
57,32,NPR Žebračka-point 25,3,3,24,0.00785,18
58,32,NPR Žebračka-point 26,3,3,25,0.00785,21
59,32,NPR Žebračka-point 27,3,3,26,0.00785,20
60,32,NPR Žebračka-point 28,3,3,27,0.00785,19
61,32,NPR Žebračka-point 29,3,3,28,0.00785,18
62,32,NPR Žebračka-point 30,3,3,29,0.00785,27
63,32,NPR Žebračka-point 31,3,3,30,0.00785,21
64,32,NPR Žebračka-point 32,3,3,31,0.00785,19
65,32,NPR Žebračka-point 33,3,3,32,0.00785,22
66,,Zlatý potok - Železné hory,1,1,13,0.129999995,22
67,,castle park in Budišov u Třebíče,1,1,14,0.064000003,134
68,,Úvalenské louky,1,1,15,0.107500002,11
69,,town park in Jablunkov,1,1,16,0.093999997,114
70,,Třetí díl - Kobylské jezero,1,1,17,0.421000004,110
71,,Na Vanovicích,1,1,30,0.159999996,33
