"","previousIdentification","scientificName","observation"
"1","Accipiter gentilis","Accipiter gentilis","Ok birdL"
"2","Accipiter nisus","Accipiter nisus","Ok birdL"
"3","Acrocephallus scripaceus","Acrocephallus scripaceus","Ok birdL"
"4","Acrocephalus arundinaceus","Acrocephalus arundinaceus","Ok birdL"
"5","Acrocephalus melanopogon","Acrocephalus melanopogon","Ok birdL"
"6","Acrocephalus paludicola","Acrocephalus paludicola","Ok birdL"
"7","Acrocephalus palustris","Acrocephalus palustris","Ok birdL"
"8","Acrocephalus scirpaceus","Acrocephalus scirpaceus","Ok birdL"
"9","Acrocephalus schoenobaenus","Acrocephalus schoenobaenus","Ok birdL"
"10","Actitis hypoleuca","Actitis hypoleuca","Ok birdL"
"11","Actitis hypoleucos","Actitis hypoleucos","Ok birdL"
"12","Aegithalos caudatus","Aegithalos caudatus","Ok birdL"
"13","Aegithatos caudatus","Aegithatos caudatus","Ok birdL"
"14","Aegolius funereus","Aegolius funereus","Ok birdL"
"15","Aix galericulata","Aix galericulata","Ok birdL"
"16","Alauda arvensis","Alauda arvensis","Ok birdL"
"17","Alcedo atthis","Alcedo atthis","Ok birdL"
"18","Alopochen aegyptiaca","Alopochen aegyptiaca","Ok birdL"
"19","Anas acuta ","Anas acuta ","Ok birdL"
"20","Anas clypeata","Anas clypeata","Ok birdL"
"21","Anas crecca","Anas crecca","Ok birdL"
"22","Anas penelope ","Anas penelope ","Ok birdL"
"23","Anas platyrhynchos","Anas platyrhynchos","Ok birdL"
"24","Anas platyrchynchos","Anas platyrchynchos","Ok birdL"
"25","Anas querquedula","Anas querquedula","Ok birdL"
"26","Anas strepera","Anas strepera","Ok birdL"
"27","Anser albifrons","Anser albifrons","Ok birdL"
"28","Anser anser","Anser anser","Ok birdL"
"29","Anser brachyrhynchus","Anser brachyrhynchus","Ok birdL"
"30","Anser erythropus","Anser erythropus","Ok birdL"
"31","Anser fabalis","Anser fabalis","Ok birdL"
"32","Anthus campestris","Anthus campestris","Ok birdL"
"33","Anthus cervinus","Anthus cervinus","Ok birdL"
"34","Anthus pratensis","Anthus pratensis","Ok birdL"
"35","Anthus sp.","Anthus sp.","Ok birdL"
"36","Anthus spinoletta","Anthus spinoletta","Ok birdL"
"37","Anthus trivialis","Anthus trivialis","Ok birdL"
"38","Apus apus","Apus apus","Ok birdL"
"39","Aquila chrysaetos","Aquila chrysaetos","Ok birdL"
"40","Aquila pomarina ","Aquila pomarina ","Ok birdL"
"41","Aquila rapax","Aquila rapax","Ok birdL"
"42","Ardea alba","Ardea alba","Ok birdL"
"43","Ardea cinerea","Ardea cinerea","Ok birdL"
"44","Ardea purpurea","Ardea purpurea","Ok birdL"
"45","Ardeola ralloides","Ardeola ralloides","Ok birdL"
"46","Arenaria interpres","Arenaria interpres","Ok birdL"
