,previousIdentification,scientificName,observation
1,Acanthis cabaret,Acanthis cabaret,Ok (IOC World Bird List)
2,Acanthis flammea,Acanthis flammea,Ok (IOC World Bird List)
3,Accipiter gentilis,Accipiter gentilis,Ok (IOC World Bird List)
4,Accipiter nisus,Accipiter nisus,Ok (IOC World Bird List)
5,Acrocephallus arundinaceus,Acrocephalus arundinaceus,Updated according to IOC World Bird List
6,Acrocephallus palustris,Acrocephalus palustris,Updated according to IOC World Bird List
7,Acrocephallus scirpaceus,Acrocephalus scirpaceus,Updated according to IOC World Bird List
8,Acrocephallus scripaceus,Acrocephalus scirpaceus,Updated according to IOC World Bird List
9,Acrocephallus schoenobaenus,Acrocephalus schoenobaenus,Updated according to IOC World Bird List
10,Acrocephalus arundinaceus,Acrocephalus arundinaceus,Ok (IOC World Bird List)
11,Acrocephalus melanopogon,Acrocephalus melanopogon,Ok (IOC World Bird List)
12,Acrocephalus paludicola,Acrocephalus paludicola,Ok (IOC World Bird List)
13,Acrocephalus palustris,Acrocephalus palustris,Ok (IOC World Bird List)
14,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Ok (IOC World Bird List)
15,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Ok (IOC World Bird List)
16,Actitis hypoleuca,Actitis hypoleucos,Updated according to IOC World Bird List
17,Actitis hypoleucos,Actitis hypoleucos,Ok (IOC World Bird List)
18,Aegithalos caudatus,Aegithalos caudatus,Ok (IOC World Bird List)
19,Aegithatos caudatus,Aegithalos caudatus,Updated according to IOC World Bird List
20,Aegolius funereus,Aegolius funereus,Ok (IOC World Bird List)
21,Aix galericulata,Aix galericulata,Ok (IOC World Bird List)
22,Alauda arvensis,Alauda arvensis,Ok (IOC World Bird List)
23,Alcedo atthis,Alcedo atthis,Ok (IOC World Bird List)
24,Alopochen aegyptiaca,Alopochen aegyptiaca,Ok (IOC World Bird List)
25,Anas acuta,Anas acuta,Ok (IOC World Bird List)
26,Anas clypeata,Anas clypeata,Ok (BirdLife International)
27,Anas crecca,Anas crecca,Ok (IOC World Bird List)
28,Anas penelope,Anas penelope,Ok (BirdLife International)
29,Anas platyrhynchos,Anas platyrhynchos,Ok (IOC World Bird List)
30,Anas platyrchynchos,Anas platyrhynchos,Updated according to IOC World Bird List
31,Anas querquedula,Anas querquedula,Ok (BirdLife International)
32,Anas strepera,Anas strepera,Ok (BirdLife International)
33,Anser albifrons,Anser albifrons,Ok (IOC World Bird List)
34,Anser anser,Anser anser,Ok (IOC World Bird List)
35,Anser brachyrhynchus,Anser brachyrhynchus,Ok (IOC World Bird List)
36,Anser erythropus,Anser erythropus,Ok (IOC World Bird List)
37,Anser fabalis,Anser fabalis,Ok (IOC World Bird List)
38,Anthus campestris,Anthus campestris,Ok (IOC World Bird List)
